title,author,length
"80. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
81. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
82. Poor Charlie’s Almanack,By: Charles T. Munger,Length: 13 hrs and 9 mins
83. The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
"84. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
85. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
"86. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
87. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
88. The Fraud,By: Zadie Smith,Length: 12 hrs and 26 mins
89. The 4-Hour Body,By: Timothy Ferriss,Length: 3 hrs and 51 mins
90. Hunting Adeline,By: H. D. Carlton,Length: 17 hrs and 24 mins
91. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
92. Cytonic,By: Brandon Sanderson,Length: 13 hrs and 15 mins
93. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
94. The Creative Act,By: Rick Rubin,Length: 5 hrs and 45 mins
95. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
96. Starter Villain,By: John Scalzi,Length: 8 hrs and 5 mins
97. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
98. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
99. The War of Two Queens,By: Jennifer L. Armentrout,Length: 26 hrs and 38 mins
100. Aftermath,By: Craig Alanson,Length: 21 hrs and 6 mins
